'sound$','word$','test$','tran$','timeLab','f1','f2','f3',f3f2
RealWordRep_012L41MS3,rain,Test73,r,639.9008531,539.1165659,1704.495858,3546.245791,1841.749933
RealWordRep_012L41MS3,running,Test74,r,643.135732,625.5830777,3163.449662,3301.434289,137.9846272
RealWordRep_012L41MS3,rabbit,Test76,$other,651.5703571,1037.895118,2526.217189,4000.3125,1474.095311
RealWordRep_012L41MS3,rock,Test77,$other,657.0532897,570.0515602,2656.771868,4117.32863,1460.556762
RealWordRep_012L41MS3,red,Test78,$other,663.0436226,472.1379475,2564.484824,3755.00962,1190.524796
RealWordRep_012L41MS3,wet,Test86,w,700.1721511,684.5421539,2431.1097,3781.630905,1350.521205
RealWordRep_012L41MS3,web,Test90,w:$r,719.6510483,800.4704661,2761.853402,3330.291979,568.4385763
RealWordRep_014L50MS4,red,Test6,$w:r,81.94283018,508.7248436,1743.394169,3262.596021,1519.201852
RealWordRep_014L50MS4,web,Test9,w:$r,94.61072875,276.0925475,2177.860383,3768.669074,1590.808691
RealWordRep_014L50MS4,rock,Test12,$w:r,108.0752387,533.9367117,1805.316922,2845.894207,1040.577285
RealWordRep_014L50MS4,wet,Test14,w,130.1004804,554.3795584,2653.497303,3936.251227,1282.753924
RealWordRep_014L50MS4,rabbit,Test16,$w:r,138.7200305,569.5422665,2498.037826,3975.933589,1477.895763
RealWordRep_014L50MS4,waiting,Test19,$other,159.0148411,568.0577175,2780.667504,3879.246628,1098.579124
RealWordRep_014L50MS4,window,Test20,$other,163.107365,398.181875,2819.86802,3747.713462,927.8454424
RealWordRep_014L50MS4,raisins,Test22,$w:r,173.075981,507.6282032,2050.495905,3568.754246,1518.25834
RealWordRep_014L50MS4,rocking,Test28,$w,202.1059525,872.1778418,2478.568372,4095.299457,1616.731084
RealWordRep_014L50MS4,rain,Test31,$w,221.0353958,698.6160576,2364.784172,3677.473894,1312.689723
RealWordRep_014L50MS4,running,Test34,$w:r,233.3377897,483.0414825,2214.507818,3881.631846,1667.124028
RealWordRep_014L50MS4,wind,Test41,w,274.1074916,830.7061015,2299.553613,4107.293271,1807.739658
RealWordRep_014L50MS4,water,Test58,w,349.8411574,389.841756,2193.279579,3539.257953,1345.978374
RealWordRep_014L50MS4,ring,Test59,$w:r,353.8320523,816.9788607,1611.085348,3286.730448,1675.6451
RealWordRep_014L50MS4,watch,Test60,w,357.7172018,451.5872186,1933.478441,3620.105353,1686.626912
RealWordRep_014L50MS4,washer,Test66,w,388.6277094,666.6072078,3005.065956,4632.671848,1627.605892
RealWordRep_014L50MS4,wheel,Test71,$other,418.4090368,359.4601727,2508.926726,3634.338559,1125.411833
RealWordRep_014L50MS4,walk,Test73,w,425.8333681,442.4133763,2598.184609,3257.350953,659.166344
RealWordRep_014L50MS4,rock,Test80,$w,455.6460799,672.3952993,1370.223512,3331.08465,1960.861139
RealWordRep_014L50MS4,wet,Test81,$hw,459.2455905,848.9008811,2395.865888,3723.690642,1327.824754
RealWordRep_014L50MS4,web,Test82,$other,462.9265564,518.4521283,1948.301844,3795.060327,1846.758483
RealWordRep_014L50MS4,red,Test87,$other,491.2233751,516.2654671,2548.256264,3970.612588,1422.356324
RealWordRep_014L50MS4,rabbit,Test88,$w:r,494.6257258,718.2474068,1958.64677,3658.593814,1699.947044
RealWordRep_015L42MS3,web,Test1,w,260.6951051,752.0862412,2457.632881,3849.017827,1391.384946
RealWordRep_015L42MS3,wet,Test7,w:$r,302.8428154,517.3703227,3083.21113,3930.757389,847.5462587
RealWordRep_015L42MS3,rock,Test10,$w,325.5838626,422.683078,2325.080919,3338.161529,1013.080609
RealWordRep_015L42MS3,rabbit,Test13,$w,387.1187114,1082.461952,2684.136895,4224.937898,1540.801004
