sound,word,test,ChildWordKey,tran,timeLab,f1,f2,f3,f3f2,ChildID
RealWordRep_006L40FS3,watch,Test17,006L40FS3Test17watch,w,279.309995,517.071324,2274.795852,3565.647541,1290.851689,C006
RealWordRep_006L40FS3,wind,Test18,006L40FS3Test18wind,w,286.1625142,467.7818324,2338.957215,3676.10474,1337.147526,C006
RealWordRep_006L40FS3,walk,Test21,006L40FS3Test21walk,w:$r,425.9318582,1365.234668,2777.271982,4390.502589,1613.230607,C006
RealWordRep_006L40FS3,reading,Test22,006L40FS3Test22reading,$w:r,457.196416,776.1544454,1010.651427,3145.448802,2134.797375,C006
RealWordRep_006L40FS3,water,Test32,006L40FS3Test32water,w:$r,523.7750601,408.1760253,1540.416945,3791.545267,2251.128322,C006
RealWordRep_006L40FS3,rain,Test36,006L40FS3Test36rain,$w:r,632.7502769,762.4742183,2825.605974,4622.995145,1797.389171,C006
RealWordRep_006L40FS3,rocking,Test48,006L40FS3Test48rocking,$w:r,711.134894,353.2690658,1930.898139,3398.498453,1467.600314,C006
RealWordRep_006L40FS3,raisins,Test50,006L40FS3Test50raisins,$w,719.2371128,522.1008817,2340.877021,4111.046494,1770.169473,C006
RealWordRep_006L40FS3,washer,Test52,006L40FS3Test52washer,w:$r,744.5864418,427.8054561,1498.75836,3271.250218,1772.491859,C006
RealWordRep_006L40FS3,waiting,Test54,006L40FS3Test54waiting,w,756.2038359,2060.377427,3044.944096,4753.881924,1708.937827,C006
RealWordRep_006L40FS3,running,Test64,006L40FS3Test64running,$w,809.743547,371.7498837,1882.378984,3588.896511,1706.517526,C006
RealWordRep_006L40FS3,wheel,Test65,006L40FS3Test65wheel,w,813.8798779,757.5676143,2541.30357,3769.191002,1227.887432,C006
RealWordRep_006L40FS3,ring,Test69,006L40FS3Test69ring,$w:r,862.4318412,369.6645707,2022.867027,3351.025209,1328.158181,C006
RealWordRep_006L40FS3,web,Test77,006L40FS3Test77web,w,929.3948081,744.5538147,2062.998638,3747.589117,1684.590478,C006
RealWordRep_006L40FS3,wet,Test79,006L40FS3Test79wet,w:$r,939.7489978,1253.503471,2398.833135,3897.428422,1498.595287,C006
RealWordRep_006L40FS3,rock,Test82,006L40FS3Test82rock,$w:r,966.2104049,431.73411,962.7892386,3302.276509,2339.48727,C006
RealWordRep_006L40FS3,red,Test87,006L40FS3Test87red,$w:r,986.7473384,391.9427346,2309.602125,3957.256005,1647.65388,C006
RealWordRep_006L40FS3,rabbit,Test88,006L40FS3Test88rabbit,$w:r,990.6594068,555.3623118,2711.350336,3662.131746,950.7814097,C006
RealWordRep_007L44FS3,red,Test3,007L44FS3Test3red,$w:r,104.0864582,623.105347,2053.578554,3373.751893,1320.173339,C007
RealWordRep_007L44FS3,rock,Test5,007L44FS3Test5rock,$w,112.8131662,433.364816,2382.853274,2699.252328,316.3990541,C007
RealWordRep_007L44FS3,web,Test6,007L44FS3Test6web,w:$r,120.6513302,535.0793254,1472.022877,3500.450963,2028.428086,C007
RealWordRep_007L44FS3,wet,Test7,007L44FS3Test7wet,w,124.409415,550.7086701,981.1031772,3522.929408,2541.82623,C007
RealWordRep_007L44FS3,rabbit,Test11,007L44FS3Test11rabbit,$w,140.8242702,710.9931223,1853.467243,3377.551444,1524.084201,C007
RealWordRep_007L44FS3,reading,Test23,007L44FS3Test23reading,$w,219.4762394,395.6060026,1726.993109,3348.837062,1621.843953,C007
RealWordRep_007L44FS3,ring,Test25,007L44FS3Test25ring,$w,227.6295353,327.0788407,1561.657715,3329.482256,1767.824541,C007
RealWordRep_007L44FS3,wind,Test36,007L44FS3Test36wind,w,305.9509078,583.4119839,2319.890473,3688.371496,1368.481023,C007
RealWordRep_007L44FS3,washer,Test37,007L44FS3Test37washer,w,319.6644879,354.6705979,2486.268427,3906.265085,1419.996658,C007
RealWordRep_007L44FS3,water,Test41,007L44FS3Test41water,w,348.9061421,836.5937845,1811.331292,3464.484022,1653.152729,C007
RealWordRep_007L44FS3,walk,Test48,007L44FS3Test48walk,w,377.5831767,537.8027913,1619.958109,3625.175958,2005.217849,C007
RealWordRep_007L44FS3,rain,Test49,007L44FS3Test49rain,$w,381.6065855,536.9904657,1808.796951,4150.903083,2342.106131,C007
RealWordRep_007L44FS3,watch,Test53,007L44FS3Test53watch,w:$r,403.0585339,554.0747554,2065.137504,3155.072654,1089.93515,C007
